plant          ,year           ,CD-productivity
10423.000,81.000000,14.115477
10423.000,82.000000,12.160579
10423.000,83.000000,10.729291
10423.000,84.000000,10.269111
10423.000,85.000000,11.628851
10423.000,86.000000,11.693086
10423.000,87.000000,11.930677
10423.000,88.000000,12.373613
10423.000,89.000000,13.128487
10423.000,90.000000,12.512269
10423.000,91.000000,12.491700
10424.000,81.000000,12.348975
10424.000,82.000000,11.892223
10424.000,83.000000,10.604010
10424.000,84.000000,11.760292
10424.000,85.000000,11.417672
10424.000,86.000000,9.9223072
10424.000,87.000000,10.530464
10424.000,88.000000,10.161494
10424.000,89.000000,9.5476522
10424.000,90.000000,9.9359722
10424.000,91.000000,9.0314533
10425.000,81.000000,7.9890000
10425.000,82.000000,14.009118
10425.000,83.000000,10.999453
10425.000,84.000000,14.393084
10425.000,85.000000,9.9733652
10426.000,81.000000,7.4392512
10426.000,82.000000,8.3218958
10426.000,83.000000,8.9541932
10426.000,84.000000,11.166375
10426.000,85.000000,11.664523
10426.000,86.000000,10.953794
10426.000,87.000000,9.1477994
10426.000,88.000000,7.5141321
10426.000,89.000000,7.9639485
10426.000,90.000000,8.9515942
10426.000,91.000000,8.7604841
10427.000,81.000000,13.986632
10427.000,82.000000,11.894034
10427.000,83.000000,11.211235
10427.000,84.000000,11.125623
10427.000,85.000000,10.605603
10427.000,86.000000,10.778883
10427.000,87.000000,11.033267
10427.000,88.000000,11.418047
10427.000,89.000000,11.297197
10427.000,90.000000,12.442389
10427.000,91.000000,12.663203
10428.000,81.000000,17.251218
10428.000,82.000000,14.800808
10428.000,83.000000,12.294225
10428.000,84.000000,13.394339
10428.000,85.000000,13.402470
10428.000,86.000000,14.297448
10428.000,87.000000,12.497682
10428.000,88.000000,17.046256
10428.000,89.000000,16.884626
10428.000,90.000000,15.342311
10428.000,91.000000,14.705478
10429.000,81.000000,9.6947443
10429.000,82.000000,8.4903606
10429.000,83.000000,8.3909767
10429.000,84.000000,10.868834
10429.000,85.000000,9.9149485
10429.000,86.000000,9.4744277
10429.000,87.000000,10.035911
10429.000,88.000000,10.033375
10429.000,89.000000,9.6351654
10429.000,90.000000,12.178661
10429.000,91.000000,13.416168
