plant          ,year           ,CD-productivity
10258.000,89.000000,3367.7398
10965.000,81.000000,3384.5758
10965.000,82.000000,2534.9215
10965.000,83.000000,4091.0387
10965.000,84.000000,3330.8926
10965.000,85.000000,4576.4313
10966.000,81.000000,4651.2909
10966.000,82.000000,3630.4098
10966.000,83.000000,3638.9991
10966.000,84.000000,4812.1268
10966.000,85.000000,4805.4374
10967.000,81.000000,2855.1694
10967.000,82.000000,7860.2338
10967.000,83.000000,5235.9175
10967.000,84.000000,5301.6282
10967.000,85.000000,5941.1350
10968.000,81.000000,1331.6120
10968.000,82.000000,2260.1094
10968.000,83.000000,1682.4677
10968.000,84.000000,1826.2940
10968.000,85.000000,1555.3710
10968.000,86.000000,1604.5482
10968.000,87.000000,2366.0220
10968.000,88.000000,1715.5812
10968.000,89.000000,1993.1741
10968.000,90.000000,2043.9794
10968.000,91.000000,2107.4219
10969.000,81.000000,2153.8443
10969.000,82.000000,2133.3867
10969.000,83.000000,2233.5295
10969.000,84.000000,2097.1966
10969.000,85.000000,2355.9371
10971.000,81.000000,2686.5843
10971.000,84.000000,3082.8676
10971.000,85.000000,3044.7599
10971.000,86.000000,2972.4268
10972.000,81.000000,1470.8709
10972.000,82.000000,1569.9264
10972.000,83.000000,529.56707
10972.000,84.000000,1558.2002
10972.000,85.000000,2734.8790
10973.000,81.000000,9457.8090
10973.000,82.000000,10705.585
10973.000,83.000000,9157.8914
10973.000,84.000000,7930.7326
10973.000,85.000000,7762.7459
10973.000,86.000000,9360.0517
10973.000,87.000000,10954.776
10973.000,88.000000,11210.621
10973.000,89.000000,11406.888
10973.000,90.000000,10999.086
10973.000,91.000000,13020.598
10974.000,81.000000,781.35475
10974.000,82.000000,1009.8702
10974.000,83.000000,1235.8439
10974.000,84.000000,1215.1362
10974.000,85.000000,1184.7556
10974.000,86.000000,944.98198
10974.000,87.000000,917.78161
10974.000,88.000000,1054.4024
10974.000,89.000000,1107.2620
10974.000,90.000000,1073.7630
10974.000,91.000000,1543.4212
10975.000,81.000000,1077.9476
10975.000,82.000000,1141.5611
10975.000,83.000000,932.91644
10975.000,84.000000,1232.6220
10975.000,85.000000,1140.8356
10975.000,86.000000,948.86499
10975.000,87.000000,1254.7849
10975.000,88.000000,1217.3372
10975.000,89.000000,1111.7362
10975.000,90.000000,924.97312
10975.000,91.000000,820.05426
10976.000,81.000000,2482.0418
10976.000,82.000000,2581.3618
10976.000,83.000000,2536.9453
10976.000,84.000000,2051.3830
10976.000,85.000000,3570.5518
10976.000,86.000000,3213.4943
10976.000,87.000000,3196.9769
10976.000,88.000000,3543.4558
10976.000,89.000000,2482.0200
10976.000,90.000000,2857.5227
10976.000,91.000000,1509.6602
10977.000,81.000000,1058.7729
10977.000,82.000000,1257.8911
10977.000,83.000000,1195.5836
10977.000,84.000000,1263.6359
10977.000,85.000000,1282.1272
10977.000,86.000000,1743.2851
10977.000,87.000000,1575.4501
10977.000,88.000000,1739.3900
10977.000,89.000000,1341.7485
10977.000,90.000000,1546.7368
10977.000,91.000000,1520.4513
10978.000,81.000000,4946.4723
10978.000,82.000000,4899.7220
10978.000,83.000000,4566.9680
10978.000,84.000000,4741.9662
10978.000,85.000000,4551.3151
10978.000,86.000000,5340.8473
10978.000,87.000000,6267.0220
10978.000,88.000000,5370.3037
10978.000,89.000000,4294.0611
10978.000,90.000000,5278.6871
10978.000,91.000000,6673.2497
10979.000,81.000000,4732.9763
10979.000,82.000000,3716.0937
10979.000,83.000000,2991.6243
10979.000,84.000000,2428.2504
10979.000,85.000000,3695.9810
10979.000,86.000000,4078.1556
10979.000,87.000000,4439.9998
10979.000,88.000000,4255.5924
10979.000,89.000000,4220.7092
10980.000,81.000000,7820.6818
10980.000,82.000000,6435.2981
10980.000,83.000000,4363.6437
10980.000,84.000000,5481.6380
10980.000,85.000000,4798.9154
10980.000,86.000000,5880.5415
10980.000,87.000000,5794.1668
10980.000,88.000000,4871.3567
10980.000,89.000000,5572.6533
10980.000,90.000000,5059.4760
10980.000,91.000000,5630.1190
10981.000,81.000000,2114.5481
10981.000,82.000000,2877.2909
10981.000,83.000000,2822.3446
10981.000,84.000000,3336.7174
10981.000,85.000000,2954.5145
10981.000,86.000000,3394.8100
10981.000,87.000000,3331.9117
10981.000,88.000000,3410.2751
10981.000,89.000000,3656.6474
10981.000,90.000000,3978.7352
10981.000,91.000000,4322.2039
10982.000,81.000000,1127.8053
10982.000,82.000000,1391.9526
10982.000,83.000000,1290.3754
10982.000,84.000000,1338.2501
10982.000,85.000000,1527.9194
10982.000,86.000000,1209.9777
10982.000,87.000000,1327.5719
10982.000,88.000000,1276.1375
10982.000,89.000000,1377.7210
10982.000,90.000000,1150.5415
10982.000,91.000000,2219.7205
10983.000,81.000000,12458.632
10983.000,82.000000,11433.277
10983.000,83.000000,10810.877
10983.000,84.000000,11662.961
10983.000,85.000000,11616.645
10983.000,86.000000,13033.930
10983.000,87.000000,17713.162
10983.000,88.000000,18263.077
10983.000,89.000000,15723.982
10983.000,90.000000,15128.838
10983.000,91.000000,12927.033
10984.000,81.000000,1461.9450
10984.000,82.000000,1748.1006
10984.000,83.000000,1773.2851
10984.000,84.000000,1678.8574
10984.000,85.000000,1723.9242
10984.000,86.000000,1590.0383
10984.000,87.000000,1741.6939
10984.000,88.000000,1539.2659
10984.000,89.000000,1788.7843
10984.000,90.000000,1978.1022
10984.000,91.000000,1948.1581
10985.000,81.000000,496.21444
10985.000,82.000000,661.11053
10985.000,83.000000,643.93634
10985.000,84.000000,567.50135
10985.000,85.000000,596.14294
10985.000,86.000000,540.23113
10985.000,87.000000,580.39411
10985.000,88.000000,543.97237
10985.000,89.000000,586.99999
10985.000,90.000000,509.16438
10985.000,91.000000,498.33321
10986.000,81.000000,2522.6658
10986.000,82.000000,2548.7919
10986.000,83.000000,2392.7511
10986.000,84.000000,2861.2717
10986.000,85.000000,3021.3417
10986.000,86.000000,3335.2713
10986.000,87.000000,4041.5166
10986.000,88.000000,4264.9956
10986.000,89.000000,4379.0922
10986.000,90.000000,5052.9339
10986.000,91.000000,5427.4889
10987.000,81.000000,3986.0045
10987.000,82.000000,4444.5372
10987.000,83.000000,3569.6753
10987.000,84.000000,3528.7548
10987.000,85.000000,3663.6332
10987.000,86.000000,4425.5227
10987.000,87.000000,4703.1998
10987.000,88.000000,5253.7596
10987.000,89.000000,6185.8313
10987.000,90.000000,6237.1030
10987.000,91.000000,4329.3120
10988.000,81.000000,1401.7683
10988.000,82.000000,2070.7050
10988.000,83.000000,2186.8012
10988.000,84.000000,1545.3984
10988.000,85.000000,2144.1033
10988.000,86.000000,2125.8629
10988.000,87.000000,2430.8419
10988.000,88.000000,2376.0053
10988.000,89.000000,2410.3006
10988.000,90.000000,2829.6957
10988.000,91.000000,2589.6796
10989.000,81.000000,2591.6992
10989.000,82.000000,3501.5049
10989.000,83.000000,3082.1858
10989.000,84.000000,2610.2321
10989.000,85.000000,2799.5007
10989.000,86.000000,1994.3892
10989.000,87.000000,2556.9684
10989.000,88.000000,2408.0066
10989.000,89.000000,3118.5664
10989.000,90.000000,2611.0420
10989.000,91.000000,2476.3851
10991.000,81.000000,3606.7761
10991.000,82.000000,3595.7545
10991.000,83.000000,4124.7133
10991.000,84.000000,4652.5698
10991.000,85.000000,4425.7570
10991.000,86.000000,4515.6252
10991.000,87.000000,4678.4447
10991.000,88.000000,3819.3280
10991.000,89.000000,4095.3118
10992.000,82.000000,1397.3916
10992.000,83.000000,1782.9382
10992.000,84.000000,2034.3950
10992.000,85.000000,2221.3456
10992.000,87.000000,2526.6964
10992.000,88.000000,2980.3895
10992.000,89.000000,2907.3375
10992.000,90.000000,3441.2941
10992.000,91.000000,2973.6048
10993.000,81.000000,4496.6437
10993.000,82.000000,4389.0273
10993.000,83.000000,4725.0394
10993.000,84.000000,5749.4690
10993.000,85.000000,6494.8559
10993.000,86.000000,6826.7612
10993.000,87.000000,8120.9220
10993.000,88.000000,8147.9187
10993.000,89.000000,9777.8404
10993.000,90.000000,10413.249
10993.000,91.000000,9924.5299
10995.000,83.000000,586.26398
10995.000,84.000000,580.00657
10995.000,85.000000,639.52241
10995.000,86.000000,781.95852
10995.000,87.000000,1026.9025
10995.000,88.000000,882.52080
10995.000,89.000000,898.55697
10995.000,90.000000,1008.3852
10995.000,91.000000,763.88083
10996.000,81.000000,7212.1300
10996.000,82.000000,7774.3888
10996.000,83.000000,9267.5814
10996.000,84.000000,9635.8594
10996.000,85.000000,10386.169
10996.000,86.000000,8882.7043
10996.000,87.000000,9644.8165
10996.000,88.000000,11634.457
10996.000,89.000000,9744.0023
10996.000,90.000000,14013.167
10996.000,91.000000,18213.736
10997.000,81.000000,8353.8370
10997.000,82.000000,8989.4892
10997.000,83.000000,8620.2493
10997.000,84.000000,9719.6252
10997.000,85.000000,9142.9608
10997.000,86.000000,9210.8310
10997.000,87.000000,8701.6563
10997.000,88.000000,9804.9281
10997.000,89.000000,11082.999
10997.000,90.000000,11146.763
10997.000,91.000000,11528.452
10998.000,81.000000,1272.5611
10998.000,82.000000,1223.5682
10998.000,83.000000,1152.0442
10998.000,84.000000,1505.5846
