plant       ,year        ,productivity
10423.000,81.000000,4418.5641
10423.000,82.000000,4177.6821
10423.000,83.000000,3799.6441
10423.000,84.000000,4009.8883
10423.000,85.000000,4468.3780
10423.000,86.000000,4434.6667
10423.000,87.000000,4661.2445
10423.000,88.000000,4714.0729
10423.000,89.000000,4988.5951
10423.000,90.000000,4768.4333
10423.000,91.000000,4728.8497
10424.000,81.000000,4514.1211
10424.000,82.000000,4524.2165
10424.000,83.000000,4118.7023
10424.000,84.000000,4631.4823
10424.000,85.000000,4509.8983
10424.000,86.000000,3862.3024
10424.000,87.000000,4095.9600
10424.000,88.000000,3929.3391
10424.000,89.000000,3931.8060
10424.000,90.000000,4151.1959
10424.000,91.000000,3868.9519
10425.000,81.000000,3356.3610
10425.000,82.000000,6010.2847
10425.000,83.000000,4894.1059
10425.000,84.000000,6359.9047
10425.000,85.000000,4689.4998
10426.000,81.000000,2618.7104
10426.000,82.000000,3340.8181
10426.000,83.000000,3744.2999
10426.000,84.000000,4134.3218
10426.000,85.000000,4467.8110
10426.000,86.000000,4018.0146
10426.000,87.000000,3377.7031
10426.000,88.000000,2942.8438
10426.000,89.000000,2997.6885
10426.000,90.000000,3319.1679
10426.000,91.000000,3116.7946
10427.000,81.000000,4890.7248
10427.000,82.000000,4183.8394
10427.000,83.000000,4112.3262
10427.000,84.000000,4161.1126
10427.000,85.000000,3983.0108
10427.000,86.000000,4189.6677
10427.000,87.000000,4380.4133
10427.000,88.000000,4758.2048
10427.000,89.000000,4691.0466
10427.000,90.000000,5277.8451
10427.000,91.000000,5404.9627
10428.000,81.000000,5815.4169
10428.000,82.000000,5197.4144
10428.000,83.000000,4518.5246
10428.000,84.000000,5132.0600
10428.000,85.000000,5118.2983
10428.000,86.000000,5542.7233
10428.000,87.000000,5072.5543
10428.000,88.000000,7203.2271
10428.000,89.000000,7038.9445
10428.000,90.000000,6384.6646
10428.000,91.000000,6201.4909
10429.000,81.000000,3859.7828
10429.000,82.000000,3075.0454
10429.000,83.000000,3206.1842
10429.000,84.000000,4228.1557
10429.000,85.000000,4003.9661
10429.000,86.000000,3754.1285
10429.000,87.000000,3988.9768
10429.000,88.000000,3991.1697
10429.000,89.000000,4414.2713
10429.000,90.000000,5972.0470
10429.000,91.000000,6369.1849
10431.000,81.000000,5374.9362
10431.000,82.000000,7881.9310
10431.000,83.000000,5231.1750
10431.000,84.000000,5045.1977
10431.000,85.000000,5375.6458
10431.000,86.000000,5612.8285
10431.000,87.000000,5273.0378
10431.000,88.000000,5288.5555
10431.000,89.000000,4754.1430
10431.000,90.000000,4509.5313
10431.000,91.000000,5445.5535
10432.000,81.000000,3934.6381
10432.000,82.000000,4531.1173
10432.000,83.000000,3295.3024
10432.000,84.000000,3217.1642
10432.000,85.000000,5908.3851
10432.000,86.000000,4925.0775
10432.000,87.000000,4575.8646
10432.000,88.000000,4791.8889
10432.000,89.000000,3698.7932
10432.000,90.000000,5003.0216
10432.000,91.000000,3728.0299
10433.000,81.000000,5736.6283
10433.000,82.000000,6158.2651
10433.000,83.000000,5931.7695
10433.000,84.000000,6106.2860
10433.000,85.000000,6222.6473
10433.000,86.000000,5302.8730
10433.000,87.000000,5151.3594
10433.000,88.000000,5894.4523
10433.000,89.000000,5482.9547
10433.000,90.000000,5031.8323
10433.000,91.000000,4466.3766
10434.000,81.000000,4299.8440
10434.000,82.000000,4797.8680
10434.000,83.000000,4948.4636
10434.000,84.000000,4350.7383
10434.000,85.000000,6883.4476
10434.000,86.000000,4096.0604
10434.000,87.000000,4277.8316
10434.000,88.000000,4477.1008
10434.000,89.000000,4516.5957
10434.000,90.000000,4470.6675
10434.000,91.000000,4503.7280
10435.000,81.000000,4536.0184
10435.000,82.000000,4162.6187
10435.000,83.000000,4020.8014
10435.000,84.000000,3840.2314
10435.000,85.000000,3753.8611
10435.000,86.000000,3511.7090
10435.000,87.000000,3629.6947
10435.000,88.000000,3557.4819
10435.000,89.000000,3676.5546
10435.000,90.000000,3688.4343
10435.000,91.000000,3962.7778
10436.000,81.000000,4159.3333
10436.000,82.000000,4257.2859
10436.000,83.000000,2925.2738
10436.000,84.000000,5751.2862
10436.000,85.000000,4875.9273
10436.000,86.000000,4736.8731
10436.000,87.000000,5066.6064
10436.000,88.000000,5181.0159
10436.000,89.000000,5371.1669
10436.000,90.000000,5293.7047
10436.000,91.000000,4441.4160
10437.000,81.000000,4749.6047
10437.000,82.000000,4794.2402
10437.000,83.000000,4546.4158
10437.000,84.000000,4080.2092
10437.000,85.000000,4706.3619
10437.000,86.000000,4724.7164
10437.000,87.000000,2585.5355
10437.000,88.000000,3835.4251
10438.000,81.000000,5458.9479
10438.000,82.000000,4910.1970
10438.000,83.000000,4145.0628
10438.000,84.000000,3397.4939
10438.000,85.000000,6653.8747
10438.000,86.000000,7229.1087
10438.000,87.000000,7229.6681
10438.000,88.000000,2502.9558
10438.000,89.000000,1159.5909
10438.000,90.000000,1875.0909
10438.000,91.000000,3586.3591
10439.000,81.000000,4062.6813
10439.000,82.000000,4640.9433
10439.000,83.000000,4672.9065
10439.000,84.000000,4502.8018
10439.000,85.000000,4579.3460
10439.000,86.000000,4088.6854
10439.000,87.000000,3981.5248
10439.000,88.000000,4430.4293
10439.000,89.000000,4089.8883
10439.000,90.000000,4432.9842
10439.000,91.000000,5370.0768
