plant       ,year        ,productivity
10001.000,81.000000,531.28139
10001.000,82.000000,523.56045
10001.000,83.000000,521.55775
10001.000,84.000000,487.51631
10001.000,85.000000,491.41087
10001.000,86.000000,483.21170
10001.000,87.000000,460.60598
10001.000,88.000000,486.78725
10001.000,89.000000,465.52716
10001.000,90.000000,474.65960
10001.000,91.000000,479.46788
10002.000,81.000000,578.17251
10002.000,82.000000,529.80924
10002.000,83.000000,520.77618
10002.000,84.000000,533.26976
10002.000,85.000000,553.91784
10002.000,86.000000,508.71631
10002.000,87.000000,480.52319
10002.000,88.000000,460.75489
10002.000,89.000000,478.89323
10002.000,90.000000,369.90345
10003.000,81.000000,530.69132
10003.000,82.000000,528.93786
10003.000,83.000000,512.97937
10003.000,84.000000,496.00108
10003.000,85.000000,566.25818
10003.000,86.000000,636.25398
10003.000,87.000000,618.97886
10003.000,88.000000,593.98182
10003.000,89.000000,639.01629
10003.000,90.000000,635.31059
10003.000,91.000000,524.67303
10004.000,81.000000,555.16405
10004.000,82.000000,540.09119
10004.000,83.000000,532.41148
10004.000,84.000000,521.15730
10004.000,85.000000,492.99083
10004.000,86.000000,466.76013
10004.000,87.000000,510.83675
10004.000,88.000000,513.00937
10004.000,89.000000,462.40932
10004.000,90.000000,437.75608
10004.000,91.000000,443.94228
10005.000,81.000000,509.80559
10005.000,82.000000,487.88985
10005.000,83.000000,475.83869
10005.000,84.000000,470.62531
10005.000,85.000000,455.02725
10005.000,86.000000,448.62738
10005.000,87.000000,458.68682
10005.000,88.000000,442.16968
10005.000,89.000000,442.66360
10005.000,90.000000,401.10122
10005.000,91.000000,401.74929
10006.000,81.000000,549.86220
10006.000,82.000000,527.34810
10006.000,83.000000,548.47527
10006.000,84.000000,516.13152
10006.000,85.000000,601.77060
10006.000,86.000000,497.64761
10006.000,87.000000,536.92543
10006.000,88.000000,552.23008
10006.000,89.000000,529.51451
10006.000,90.000000,538.09591
10006.000,91.000000,466.36097
10007.000,81.000000,588.80655
10007.000,82.000000,554.54143
10007.000,83.000000,537.65455
10007.000,84.000000,482.31463
10007.000,85.000000,494.01911
10007.000,86.000000,456.24647
10007.000,87.000000,401.66272
10007.000,88.000000,381.62400
10007.000,89.000000,432.62792
10007.000,90.000000,325.51981
10007.000,91.000000,378.36988
10008.000,81.000000,468.45513
10008.000,82.000000,546.21167
10008.000,83.000000,506.64300
10008.000,84.000000,479.23080
10008.000,85.000000,446.72947
10008.000,86.000000,461.55936
10008.000,87.000000,447.65275
10008.000,88.000000,448.47795
10008.000,89.000000,422.94096
10008.000,90.000000,443.41167
10008.000,91.000000,433.29853
10010.000,81.000000,438.40713
10010.000,82.000000,444.40066
10010.000,83.000000,443.53278
10010.000,84.000000,460.75927
10010.000,85.000000,427.34103
10010.000,86.000000,403.29179
10010.000,87.000000,357.65344
10010.000,88.000000,356.02438
10010.000,89.000000,364.01990
10010.000,90.000000,345.02352
10010.000,91.000000,350.56457
10011.000,81.000000,573.82250
10011.000,82.000000,491.31466
10011.000,83.000000,364.87285
10011.000,84.000000,345.03022
10011.000,85.000000,421.00427
10011.000,86.000000,413.97360
10011.000,87.000000,319.42719
10011.000,88.000000,335.06439
10011.000,89.000000,368.14516
10011.000,90.000000,330.20578
10011.000,91.000000,359.91684
10012.000,81.000000,541.84732
10012.000,82.000000,471.26411
10012.000,83.000000,530.47382
10012.000,84.000000,524.46374
10012.000,85.000000,531.48908
10012.000,86.000000,529.48979
10012.000,87.000000,504.34154
