plant       ,year        ,productivity
33110313.,87.000000,13.408010
33110808.,81.000000,14.422993
33110808.,82.000000,20.802100
33110808.,83.000000,18.764565
33110808.,84.000000,18.951376
33110808.,85.000000,14.559501
33110808.,86.000000,14.404998
33110808.,87.000000,15.437423
33110808.,88.000000,14.889955
33110808.,89.000000,15.425762
33110808.,90.000000,13.078837
33110808.,91.000000,16.150120
33110809.,81.000000,23.881120
33110809.,82.000000,23.277076
33110809.,83.000000,21.304548
33110809.,84.000000,21.041811
33110809.,85.000000,19.917076
33110809.,86.000000,18.265379
33110810.,81.000000,15.480507
33110810.,82.000000,17.833961
33110810.,83.000000,17.576020
33110810.,84.000000,16.965088
33110810.,85.000000,17.248801
33110810.,86.000000,19.541122
33110810.,87.000000,19.188458
33110810.,88.000000,29.105969
33110810.,89.000000,18.231781
33110810.,90.000000,17.593832
33110810.,91.000000,16.246212
33110811.,81.000000,16.810936
33110811.,82.000000,16.553458
33110811.,83.000000,18.708209
33110811.,84.000000,19.840667
33110811.,85.000000,17.374904
33110811.,86.000000,22.119766
33110811.,87.000000,17.147938
33110812.,83.000000,22.932261
33110812.,84.000000,20.931577
33110812.,85.000000,19.351482
33110812.,86.000000,18.543638
33110812.,87.000000,19.531203
33110812.,88.000000,20.664979
33110813.,81.000000,21.210020
33110813.,82.000000,21.627437
33110813.,83.000000,21.831463
33110813.,84.000000,23.434839
33110813.,85.000000,22.646171
33110813.,86.000000,23.440172
33110813.,87.000000,21.833248
33110813.,88.000000,23.520064
33110813.,89.000000,26.473161
33110813.,90.000000,24.412040
33110813.,91.000000,23.473419
33110814.,81.000000,19.743561
33110814.,82.000000,17.594568
33110814.,83.000000,17.017108
33110814.,84.000000,18.766634
33110814.,85.000000,21.359229
33110814.,86.000000,21.534046
33110814.,87.000000,16.336119
33110815.,81.000000,20.517220
33110815.,82.000000,21.112655
33110815.,83.000000,19.767093
33110815.,84.000000,18.274597
33110815.,85.000000,17.430667
33110815.,86.000000,17.835728
33110815.,87.000000,18.433580
33110815.,88.000000,19.835698
33110815.,89.000000,19.053897
33110815.,90.000000,20.701622
33110815.,91.000000,22.337633
33110816.,81.000000,54.041192
33110816.,82.000000,16.861541
33110816.,83.000000,20.113004
33110816.,84.000000,17.498372
33110816.,85.000000,21.355851
33110816.,86.000000,21.141657
33110816.,87.000000,16.079906
33110816.,88.000000,14.626254
